property_id,bbl_id,acquired_date,acquired_price,monthly_rent
SI-0071,5513127,2012-09-21,524398,3075
SI-0072,579645,2007-05-16,465000,4000
SI-0073,5285367,2005-08-31,332000,2550
SI-0074,5706717,2010-05-26,373000,2475
SI-0075,5113218,2008-07-11,385000,2975
SI-0076,569331,2005-03-22,610000,2650
SI-0077,56171,2006-07-25,444536,3200
SI-0078,522119,2011-06-27,170000,1225
SI-0079,55741135,2009-12-29,267000,1775
SI-0080,5404949,2009-07-02,350000,2375
SI-0081,5513817,2007-12-11,499999,3900
SI-0082,56475524,2013-08-20,461370,3050
SI-0083,526385,2011-05-13,443118,3050
SI-0084,5335474,2007-12-06,365650,2850
SI-0085,5547966,2007-09-07,632500,3525
SI-0086,5292558,2007-04-03,285000,1850
SI-0087,52897107,2013-05-17,230000,1275
SI-0088,57317155,2008-05-29,530000,3725
SI-0089,55643144,2012-08-20,400000,3425
SI-0090,541415,2009-02-25,350000,2400
SI-0091,5116728,2010-02-24,219000,1525
SI-0092,5615552,2012-12-28,586000,5025
SI-0093,54411,2010-09-30,530000,3750
SI-0094,5254291,2010-07-29,739500,5450
SI-0095,56014,2005-12-22,575000,4175
SI-0096,5101629,2006-12-07,390000,2850
SI-0097,52610106,2008-06-06,410670,2800
SI-0098,5164100,2011-04-24,385000,1900
SI-0099,5285548,2011-11-08,320000,2175
SI-0100,5161574,2011-03-10,345000,2500
SI-0101,5803861,2009-10-29,307500,2325
SI-0102,5168170,2012-05-29,345000,2575
SI-0103,57317111,2012-07-18,533000,2975
SI-0104,56712122,2008-02-13,149000,1150
SI-0105,5405162,2006-06-01,357000,2325
SI-0106,5869433,2012-08-01,522000,2800
SI-0107,5264332,2011-06-28,375000,1775
SI-0108,58455,2010-03-12,330200,2525
SI-0109,580372,2013-08-19,475000,3325
SI-0110,523873,2013-11-19,420000,2625
SI-0111,52008,2013-08-21,245000,1550
SI-0112,578991,2005-04-27,719400,4675
SI-0113,5157469,2009-09-28,560000,4050
SI-0114,57066107,2007-12-14,550000,3350
SI-0115,5565530,2013-10-22,360000,2500
SI-0116,51290386,2006-10-17,250000,1700
SI-0117,53960170,2007-04-06,488944,3075
SI-0118,537673,2007-10-01,809508,5125
SI-0119,51657136,2010-10-01,370000,2350
SI-0120,55683,2011-07-28,155000,1075
SI-0121,546319,2007-02-15,420000,2800
SI-0122,5379934,2012-08-21,463220,2975
SI-0123,539334,2008-11-19,384000,2825
SI-0124,5117912,2005-09-09,490000,3475
SI-0125,51644101,2010-10-28,250000,1925
SI-0126,55691123,2008-04-30,429000,2525
SI-0127,5162148,2010-04-22,418000,3050
SI-0128,557656,2009-04-24,486720,2900
SI-0129,5574130,2007-07-25,270000,1825
SI-0130,554015,2006-06-29,291500,2100
SI-0131,5802376,2008-11-21,335000,2300
SI-0132,5161107,2007-01-19,371000,1975
SI-0133,5307267,2010-09-30,327500,2775
SI-0134,578712,2008-03-11,536500,4075
SI-0135,53121143,2009-09-24,370110,2675
SI-0136,525938,2009-09-29,442000,2875
SI-0137,520793,2010-05-28,329000,2075
SI-0138,5576122,2010-11-30,340000,2350
SI-0139,5561491,2010-03-05,325500,1950
SI-0140,52402170,2011-02-09,200000,1550
SI-0141,5683927,2013-12-12,540000,3375
SI-0142,529966,2013-03-12,495000,3475
SI-0143,5545725,2009-07-23,385000,2275
SI-0144,5547243,2012-03-20,620000,3400
SI-0145,55442129,2010-03-25,300000,2050
SI-0146,5113923,2007-06-27,520000,2625
SI-0147,5602981,2007-09-04,295000,2250
SI-0148,5285650,2010-06-16,447500,2625
SI-0149,5447370,2009-11-18,375000,3275
SI-0150,51417,2009-10-05,340000,2650
SI-0151,51680245,2012-01-30,218000,1825
SI-0152,571984,2005-09-28,435000,3350
SI-0153,5708424,2007-05-15,334000,2425
SI-0154,55735379,2012-06-25,451230,2925
SI-0155,5245172,2009-02-26,307000,2250
SI-0156,5803260,2010-07-29,475000,3125
SI-0157,5708654,2010-06-02,472000,3050
SI-0158,5110177,2012-03-09,263940,1775
SI-0159,55442265,2006-08-31,350000,2550
SI-0160,5460877,2012-10-25,425000,2450
SI-0161,55306132,2009-07-20,420000,3200
SI-0162,5792574,2008-08-06,1065000,4525
SI-0163,5531621,2013-01-24,320000,1775
SI-0164,5296939,2009-08-26,170352,1250
SI-0165,5425046,2012-12-03,519200,3250
SI-0166,5528056,2012-11-07,535000,2900
SI-0167,55622168,2010-06-21,395000,2825
SI-0168,5803755,2008-07-08,750000,4550
SI-0169,528532,2008-05-05,385000,2900
SI-0170,5374556,2012-04-20,570220,3550
SI-0171,51277205,2005-04-11,332000,1925
SI-0172,5329114,2010-01-28,650000,4250
SI-0173,51318211,2006-08-10,375950,2225
SI-0174,5337961,2005-05-02,505000,3475
SI-0175,5332949,2008-07-22,590000,2950
SI-0176,5470721,2013-12-18,460000,3425
SI-0177,559322,2007-09-11,450000,3325
SI-0178,5108845,2010-05-25,159000,1225
SI-0179,5309134,2008-10-03,495000,2900
SI-0180,56815121,2012-08-28,792000,4700
SI-0181,552916,2010-11-01,480000,4025
SI-0182,5223042,2007-07-02,525000,3825
SI-0183,5794316,2010-12-15,523000,3625
SI-0184,5339310,2009-05-12,537500,4300
SI-0185,56166179,2013-02-08,657500,3875
SI-0186,57596225,2012-03-30,609931,3450
SI-0187,5791076,2009-05-01,710000,4750
SI-0188,5238568,2012-04-23,490000,3300
SI-0189,54500235,2011-05-26,309000,2100
SI-0190,5777528,2012-07-18,992793,6350
SI-0191,5103990,2012-04-17,318000,2000
SI-0192,5284887,2010-10-27,270000,2075
SI-0193,56875126,2013-11-15,730000,4950
SI-0194,5365932,2006-01-23,695000,3975
SI-0195,5103016,2011-07-15,418275,2425
SI-0196,5390526,2008-05-02,440000,3525
SI-0197,54470165,2013-03-01,690000,2800
SI-0198,57596190,2010-07-15,495846,3150
SI-0199,54193,2008-03-20,390000,2175
SI-0200,53840114,2007-01-11,465000,3775
SI-0201,5545917,2007-10-12,405980,3000
SI-0202,51476112,2009-11-09,372320,2750
SI-0203,5116956,2007-07-25,325000,2175
SI-0204,5403515,2010-12-22,454272,2475
SI-0205,531411,2013-06-18,398000,2950
SI-0206,52846202,2007-04-30,620000,4950
SI-0207,5625027,2006-04-07,662500,4625
SI-0208,5603158,2010-03-31,272500,1975
SI-0209,57356408,2012-04-16,529000,3650
SI-0210,5707553,2009-06-08,343000,3075
SI-0211,57066130,2007-08-22,641497,3800
SI-0212,52217,2013-12-12,200000,1500
SI-0213,5327178,2013-05-10,275000,1725
SI-0214,537957,2007-02-16,351000,2150
SI-0215,5125372,2007-08-15,285000,2125
SI-0216,55639303,2006-12-22,453000,3200
SI-0217,5571537,2007-06-28,463000,3000
SI-0218,5316322,2013-05-28,465000,3225
SI-0219,539497,2013-05-16,388000,2775
SI-0220,531091,2013-12-02,410000,3075
SI-0221,5714108,2012-10-17,475000,3975
SI-0222,5286118,2013-08-01,365000,2575
SI-0223,5538625,2012-11-09,525000,3500
SI-0224,5574081,2009-06-04,245000,1800
SI-0225,5364046,2012-08-29,412500,2725
SI-0226,5389327,2005-08-22,485000,2625
SI-0227,542693,2008-11-26,585000,4025
SI-0228,562260,2010-06-16,314000,2850
SI-0229,5389114,2012-04-24,520000,2700
SI-0230,57596192,2010-04-20,465426,3075
SI-0231,5556150,2012-07-17,167310,1225
SI-0232,5357169,2006-07-20,702592,4550
SI-0233,526916,2011-12-16,865000,4250
SI-0234,5451052,2013-01-28,325000,2400
SI-0235,5794213,2010-06-25,600000,3725
SI-0236,5403919,2009-06-30,396550,2825
SI-0237,5509437,2013-10-16,330000,2400
SI-0238,5329948,2013-12-06,570000,3175
SI-0239,533414,2010-08-12,420000,3000
SI-0240,5551878,2009-06-30,645000,4275
SI-0241,56049117,2005-01-05,395000,3875
SI-0242,5311172,2007-07-16,496860,3250
SI-0243,51965443,2005-03-23,225000,1850
SI-0244,5610630,2010-04-14,590585,3850
SI-0245,51261177,2012-09-20,287000,1950
SI-0246,5702242,2013-11-26,814598,5325
SI-0247,51318221,2007-12-27,372000,2550
SI-0248,5122794,2012-06-28,145000,1125
SI-0249,5838151,2006-06-05,990000,5750
SI-0250,56166130,2012-07-09,636406,4425
SI-0251,5782134,2010-04-27,555000,3750
SI-0252,5735104,2009-08-05,433000,3700
SI-0253,5322541,2012-04-26,440000,3125
SI-0254,5521544,2012-05-03,689520,3850
SI-0255,5115976,2007-05-30,375000,3300
SI-0256,526316,2011-05-18,348625,2325
SI-0257,5709328,2008-05-30,468000,2075
SI-0258,565313,2012-09-21,331695,2550
SI-0259,5542140,2007-11-09,405000,2375
SI-0260,532225,2011-01-31,296595,2400
SI-0261,510159,2009-06-23,605000,4525
SI-0262,5788481,2013-05-17,670000,4975
SI-0263,5533463,2006-10-03,415000,2550
SI-0264,531168,2010-10-12,570000,3575
SI-0265,588428,2009-04-08,400000,2650
SI-0266,522043,2008-09-18,260000,1650
SI-0267,51186158,2012-07-11,300000,1575
SI-0268,513121,2007-01-17,675000,4350
SI-0269,5123315,2007-03-16,325000,2600
SI-0270,5703841,2007-12-07,305000,2200
SI-0271,56912102,2009-05-28,365000,2675
SI-0272,5103411,2009-07-16,310000,2050
SI-0273,56979182,2013-09-04,539570,2750
SI-0274,515088,2005-10-14,415000,3125
SI-0275,52115153,2007-03-16,624000,4175
SI-0276,511223,2007-02-21,325000,2225
SI-0277,522818,2009-12-04,267500,2075
SI-0278,5703530,2007-11-21,580000,3300
SI-0279,571817,2006-08-31,370000,2800
SI-0280,534659,2012-07-02,499900,3200
SI-0281,5801994,2009-10-29,386000,2150
SI-0282,5788538,2008-11-17,725000,4350
SI-0283,510322,2007-03-05,410750,3100
SI-0284,532029,2013-04-04,440000,3125
SI-0285,5869122,2012-09-24,999990,6025
SI-0286,5548414,2008-10-28,420000,2625
SI-0287,5403511,2007-09-27,484692,2350
SI-0288,578627,2009-06-30,999999,3800
SI-0289,52871,2013-06-14,282500,2000
SI-0290,5311513,2013-11-08,439000,2675
SI-0291,5561582,2013-10-03,814600,3800
SI-0292,5688660,2007-10-25,840056,3075
SI-0293,5151163,2012-06-28,247500,1600
SI-0294,55307115,2013-11-04,549855,3475
SI-0295,5291623,2011-02-04,575000,3575
SI-0296,5696657,2012-01-05,612000,4825
SI-0297,531130,2008-11-14,441090,2975
SI-0298,5626611,2010-12-13,750000,4400
SI-0299,552808,2013-06-13,550000,2875
SI-0300,5447368,2010-12-29,415000,2850
SI-0301,5532814,2009-05-07,336000,2025
SI-0302,5116077,2007-06-25,442500,2475
SI-0303,552616,2005-07-28,285000,2150
SI-0304,5147326,2009-09-21,414460,2425
SI-0305,57596259,2007-07-26,505986,3325
SI-0306,53960157,2007-04-13,478000,3175
SI-0307,5339567,2007-04-06,475000,2900
SI-0308,5310681,2005-11-14,350000,2100
SI-0309,5325323,2012-08-07,350000,2600
SI-0310,571986,2009-04-17,525100,2950
SI-0311,581319,2005-11-18,456300,3000
SI-0312,51595180,2010-08-31,425000,2375
SI-0313,594280,2009-01-26,488000,4300
SI-0314,5514936,2007-02-15,470000,2725
SI-0315,56166144,2005-12-08,712673,4075
SI-0316,5358638,2013-08-13,385000,2800
SI-0317,5621539,2013-11-20,580000,3850
SI-0318,5786787,2013-08-05,730000,4050
SI-0319,5696827,2009-08-14,493000,3475
SI-0320,55643143,2013-01-04,420000,2750
SI-0321,5803248,2011-10-31,440000,3575
SI-0322,5802655,2008-03-05,618000,4050
SI-0323,5952140,2007-12-10,823000,5575
SI-0324,5292515,2006-07-31,283000,2000
SI-0325,5318581,2009-04-02,408000,2625
SI-0326,526212,2012-08-06,418000,2500
SI-0327,5794319,2010-10-27,365000,2425
SI-0328,51348102,2009-11-16,370000,2475
SI-0329,555346,2012-03-05,400000,2725
SI-0330,5122746,2010-07-08,243000,1750
SI-0331,5789513,2010-03-17,725000,4025
SI-0332,5420229,2008-10-21,620000,3600
SI-0333,5126120,2007-05-25,462181,3400
SI-0334,5458355,2011-12-05,330000,2125
SI-0335,56161,2007-09-18,460900,3850
SI-0336,5672925,2007-10-01,847500,5075
SI-0337,53961,2013-05-24,338000,2425
SI-0338,52897156,2012-10-25,235000,1625
SI-0339,5111753,2007-02-13,393975,2275
SI-0340,5288736,2007-05-25,400530,2750
SI-0341,5803019,2009-12-16,640479,4275
SI-0342,5327618,2013-04-29,335000,2350
SI-0343,510589,2008-11-05,399000,2575
SI-0344,5296928,2007-09-17,292520,2300
SI-0345,5151542,2007-06-06,499900,4350
SI-0346,5672689,2012-12-27,424000,2775
SI-0347,56019130,2005-04-11,361000,2100
SI-0348,5785347,2008-03-31,630958,2300
SI-0349,571056,2011-11-17,465426,2950
SI-0350,56321116,2010-04-15,525000,4100
SI-0351,521274,2010-05-11,292000,1850
SI-0352,522447,2006-09-15,900000,3850
SI-0353,566686,2012-06-20,445000,3625
SI-0354,516017,2005-05-02,255000,1800
SI-0355,57596208,2012-03-30,609931,4175
SI-0356,5341051,2007-08-10,455500,3575
SI-0357,56023140,2009-05-19,490000,3400
SI-0358,556037,2007-10-09,425000,2775
SI-0359,5837104,2012-04-30,495000,3650
SI-0360,585265,2012-05-21,710000,4150
SI-0361,5356279,2007-02-26,697501,5125
SI-0362,5369138,2007-05-02,649900,3750
SI-0363,5545213,2007-08-16,401700,3225
SI-0364,5541188,2010-01-29,319000,2300
SI-0365,56223,2013-12-30,178000,1325
SI-0366,5158338,2012-11-15,334000,1850
SI-0367,5794411,2008-01-23,440000,3150
SI-0368,5818,2007-06-26,309000,2450
SI-0369,576122,2013-01-14,362500,3000
SI-0370,550613,2005-12-15,585000,4150
SI-0371,514521,2005-09-16,650000,3475
SI-0372,5789171,2009-11-03,735000,4975
SI-0373,5436363,2011-02-04,405000,2825
SI-0374,5788463,2006-02-07,845000,4650
SI-0375,5512921,2010-04-15,335000,2400
SI-0376,52897152,2007-10-02,255000,2350
SI-0377,57356241,2007-09-20,468500,2825
SI-0378,57356155,2012-09-20,375000,3075
SI-0379,5774035,2012-05-14,725000,5225
SI-0380,518089,2012-12-31,180500,1500
SI-0381,5113619,2010-07-14,391000,2775
SI-0382,5311089,2009-10-16,334620,2900
SI-0383,5101135,2008-11-10,575000,3275
SI-0384,5379951,2010-03-15,238000,1750
SI-0385,5288438,2012-12-04,292000,2125
SI-0386,5290832,2012-07-31,300000,1575
SI-0387,51196128,2007-01-10,456300,3150
SI-0388,554126,2006-05-12,557500,4300
SI-0389,5674311,2012-05-03,748000,3600
SI-0390,5524412,2010-02-17,510000,3800
SI-0391,5262043,2009-11-20,380000,2800
SI-0392,5658314,2007-01-31,196500,1650
SI-0393,5425020,2007-07-03,498800,3000
SI-0394,53209132,2009-04-20,520000,3850
SI-0395,56023317,2013-05-23,435000,3325
SI-0396,51595165,2008-05-22,495000,3550
SI-0397,5734962,2009-10-20,527500,3700
SI-0398,5376163,2012-09-07,450000,3600
SI-0399,540679,2007-09-21,405000,2900
SI-0400,5472248,2009-11-03,385000,2225
SI-0401,5426421,2011-06-06,435000,3175
SI-0402,55457124,2013-04-18,415000,2275
SI-0403,53730141,2011-09-19,330000,1675
SI-0404,5622155,2012-07-24,620000,4600
SI-0405,5337858,2010-02-01,409000,2625
SI-0406,5168224,2008-05-16,260000,2250
SI-0407,564845,2010-12-15,171000,1200
SI-0408,5731756,2013-07-02,450000,2650
SI-0409,5535076,2006-09-26,548625,3775
SI-0410,55937,2013-01-28,429936,2700
SI-0411,5731924,2012-11-27,292000,1975
SI-0412,5111763,2007-05-24,324480,1925
SI-0413,51670424,2012-02-23,339000,2100
SI-0414,57596289,2010-03-29,544763,3175
SI-0415,5633382,2010-03-26,702592,4525
SI-0416,5548667,2010-08-30,370000,2025
SI-0417,5545642,2013-07-22,385000,2450
SI-0418,5104741,2010-05-28,370110,2250
SI-0419,5520910,2006-01-31,381600,2475
SI-0420,57841118,2008-11-05,810000,3625
SI-0421,5411,2010-06-25,295000,2175
SI-0422,5355226,2010-02-10,288000,1850
SI-0423,538147,2007-09-05,137500,1100
SI-0424,5374430,2007-09-27,480000,3100
SI-0425,551214,2012-07-12,370000,2900
SI-0426,525397,2012-04-02,420000,2550
SI-0427,52899125,2013-12-11,232000,1475
SI-0428,5749724,2007-05-23,440000,3175
SI-0429,5144269,2009-11-23,455000,3625
SI-0430,5138312,2009-01-14,250000,2000
SI-0431,5869583,2011-01-14,512500,3500
SI-0432,5431675,2010-05-24,310000,2275
SI-0433,52923,2009-04-17,536000,2575
SI-0434,52044,2009-04-08,330000,1925
SI-0435,517108,2010-06-03,240000,1550
SI-0436,533624,2007-08-15,490000,2950
SI-0437,5164215,2011-02-28,270000,2025
SI-0438,5324758,2011-10-21,440000,2875
SI-0439,57106103,2011-04-29,295000,1675
SI-0440,51172256,2006-02-24,341960,2975
SI-0441,5637827,2009-02-03,585000,3900
SI-0442,57267401,2008-08-29,460000,3450
SI-0443,52840270,2010-06-16,280000,2775
SI-0444,5283723,2009-02-20,350000,2100
SI-0445,529833,2010-08-12,368000,2300
SI-0446,556337,2010-03-04,529000,4125
SI-0447,54474125,2011-08-23,418000,2475
SI-0448,5404313,2008-06-10,520000,3600
SI-0449,5535659,2007-05-23,519550,3875
SI-0450,5574238,2007-08-29,255000,2275
SI-0451,560122,2012-12-10,425000,3750
SI-0452,53110123,2012-09-18,410000,2200
SI-0453,5666671,2011-02-08,370000,2350
SI-0454,543046,2013-02-07,272950,2075
SI-0455,5109326,2007-03-27,393300,2750
SI-0456,5164667,2013-12-30,357500,2250
SI-0457,5109234,2009-01-05,373500,2700
SI-0458,55487188,2010-02-16,358888,1750
SI-0459,57664302,2005-06-21,496853,2925
SI-0460,5286022,2005-03-25,435000,3025
SI-0461,5315,2013-12-13,313600,2350
SI-0462,5404069,2012-05-14,337500,2800
SI-0463,5365047,2010-12-29,440000,3525
SI-0464,5731645,2008-12-09,520000,3200
SI-0465,5510836,2010-06-14,353886,3075
SI-0466,5881260,2009-04-22,985000,5825
SI-0467,5460721,2008-03-07,450000,3275
SI-0468,5502958,2006-06-12,391400,2450
SI-0469,5620532,2011-11-25,180455,1375
SI-0470,57092107,2012-05-25,425779,3375
SI-0471,5238718,2009-07-10,360000,2025
SI-0472,5574496,2012-09-10,220000,1725
SI-0473,515894,2005-03-24,365000,2075
SI-0474,5310478,2007-11-30,676649,4700
SI-0475,52231286,2010-06-03,585000,3550
SI-0476,5310579,2007-08-17,531526,3725
SI-0477,5237659,2005-05-13,415000,2725
SI-0478,515061,2010-01-19,315000,2750
SI-0479,5337828,2011-06-29,420000,3200
SI-0480,57317246,2008-08-14,402800,3050
SI-0481,5292239,2007-09-13,390390,2300
SI-0482,537369,2009-09-25,187090,1325
SI-0483,5528410,2007-11-09,813581,4675
SI-0484,5437457,2012-05-24,467000,2875
SI-0485,5622061,2013-09-11,360000,2475
SI-0486,51046,2012-06-22,180000,1325
SI-0487,5283122,2007-03-07,390000,1900
SI-0488,56727113,2007-04-26,460000,3025
SI-0489,57356169,2010-03-24,485000,3125
SI-0490,51249141,2006-01-27,524398,3425
SI-0491,556532,2006-07-20,433000,3075
SI-0492,5458768,2007-02-20,342750,3050
SI-0493,5298145,2009-11-17,455000,2700
SI-0494,520175,2008-09-23,230000,1475
SI-0495,5523735,2011-08-26,370000,2900
SI-0496,5307464,2007-08-09,325000,2650
SI-0497,5621913,2007-08-07,435006,3650
SI-0498,5545089,2010-06-08,390000,2800
SI-0499,551006,2012-06-21,315000,2175
SI-0500,5457949,2010-06-23,450000,3350
SI-0501,5283922,2005-07-14,410000,2925
SI-0502,5447744,2010-06-24,373375,2325
SI-0503,5101632,2013-03-11,190000,1350
SI-0504,5460864,2010-12-10,380000,2400
SI-0505,54478618,2006-02-14,375000,2900
SI-0506,53799126,2011-01-11,150000,1400
SI-0507,540695,2010-12-21,430000,2525
SI-0508,519884,2005-12-02,458000,3150
SI-0509,554578,2009-09-08,534800,3025
SI-0510,5630150,2010-02-12,630000,3525
SI-0511,5422812,2009-01-13,530000,4125
SI-0512,51318210,2006-07-13,335000,2125
SI-0513,5311170,2007-10-22,450000,2650
SI-0514,566983,2013-02-27,490000,3675
SI-0515,5502611,2006-01-23,450000,3200
SI-0516,567961,2005-11-17,650000,3775
SI-0517,5544749,2012-01-24,307500,2200
SI-0518,5548580,2008-12-08,297000,1875
SI-0519,54007229,2010-08-17,410000,2250
SI-0520,5461621,2009-01-08,410670,2625
SI-0521,5543880,2010-07-06,450000,3275
SI-0522,5457109,2008-08-07,245000,1825
SI-0523,5237043,2010-06-28,740000,5525
SI-0524,5502740,2008-07-03,425000,3525
SI-0525,5104848,2006-11-15,387000,2850
SI-0526,557161,2010-11-17,360000,2375
SI-0527,52360132,2010-09-30,539570,3700
SI-0528,51236161,2013-12-23,350000,2400
SI-0529,5333410,2007-11-09,463500,2900
SI-0530,5684130,2013-12-16,965000,5125
SI-0531,5548956,2012-08-27,430000,2250
SI-0532,5310577,2007-04-30,625500,4400
SI-0533,56843138,2006-06-14,276000,2100
SI-0534,5167045,2008-11-06,390390,2275
SI-0535,5316432,2007-08-21,345000,2425
SI-0536,54521,2013-10-19,243980,1700
SI-0537,516152,2010-01-15,410000,2750
SI-0538,528909,2009-05-21,150000,1025
SI-0539,531565,2008-01-15,485000,2250
SI-0540,5167313,2005-01-31,520000,2850
SI-0541,52925282,2008-06-09,255000,1575
SI-0542,5132216,2008-11-05,565000,3525
SI-0543,522037,2008-05-06,360000,3125
SI-0544,5125686,2010-09-28,511281,3200
SI-0545,511007,2013-07-29,307452,2400
SI-0546,5405373,2010-10-25,465000,2950
SI-0547,5306922,2007-04-16,300000,2475
SI-0548,53071210,2007-12-20,365000,2525
SI-0549,5108846,2010-08-27,200000,1475
SI-0550,56031150,2006-05-26,315000,1500
SI-0551,536111,2009-07-30,350000,2375
SI-0552,540575,2009-01-29,318000,2225
SI-0553,558446,2012-08-09,470000,2550
SI-0554,568305,2010-06-28,600000,4000
SI-0555,5101414,2006-06-30,304099,2200
SI-0556,5283970,2007-08-21,365000,2450
SI-0557,576710,2013-11-06,380000,2675
SI-0558,5126659,2007-06-27,402800,2350
SI-0559,5472249,2012-06-26,410000,2700
SI-0560,553654,2010-06-03,580000,4625
SI-0561,5108682,2012-11-28,240000,2100
SI-0562,5104146,2007-09-11,520000,3325
SI-0563,5215658,2008-08-22,373000,2575
SI-0564,557527,2010-01-13,235000,1800
SI-0565,5356428,2007-03-28,741286,4925
SI-0566,5421814,2009-12-30,452500,3150
SI-0567,5430665,2010-08-13,452000,3275
SI-0568,57085106,2010-08-24,370000,2675
SI-0569,5693138,2010-12-10,650000,3725
SI-0570,5121812,2010-10-25,145000,1375
SI-0571,51039260,2012-08-23,210000,1575
SI-0572,5114940,2009-01-22,190000,1400
SI-0573,53336,2012-12-18,470000,2675
SI-0574,55668142,2012-02-23,360000,2900
SI-0575,5604383,2013-12-23,360000,2750
SI-0576,5335243,2013-01-11,456300,3175
SI-0577,5546742,2010-07-14,520000,3350
SI-0578,5434925,2006-11-29,500000,2825
SI-0579,5460216,2008-10-10,580000,3500
SI-0580,52397163,2007-10-05,420000,2500
SI-0581,554787,2007-01-03,330000,2950
SI-0582,5211548,2010-08-02,412000,1750
SI-0583,5618417,2010-01-07,381000,2625
SI-0584,55520218,2012-08-30,335000,2800
SI-0585,5126451,2007-04-11,303000,1900
SI-0586,5237048,2009-12-23,829873,5875
SI-0587,56979264,2008-03-03,595676,4675
SI-0588,5657227,2009-03-19,950000,4250
SI-0589,5793116,2013-09-25,900000,5775
SI-0590,5520911,2010-11-01,540000,2375
SI-0591,5697059,2013-03-26,995000,5225
SI-0592,5514027,2007-08-22,585000,3150
SI-0593,5341250,2011-06-30,210000,1650
SI-0594,5277648,2005-06-06,550000,3025
SI-0595,5537545,2012-07-30,180000,1600
SI-0596,5375432,2005-11-04,547500,2325
SI-0597,532763,2012-05-09,370000,2550
SI-0598,57054495,2013-12-18,335000,2200
SI-0599,566544,2005-11-28,365000,2725
SI-0600,510745,2011-06-29,238000,1650
SI-0601,52862171,2006-02-21,485000,3250
SI-0602,5121130,2013-10-16,335000,2100
SI-0603,5604357,2007-01-31,360000,2775
SI-0604,533751,2007-05-08,560000,3025
SI-0605,510653,2007-07-10,575000,4225
SI-0606,5337455,2012-04-24,294300,2400
SI-0607,5355471,2008-10-29,430000,2600
SI-0608,530191,2013-04-10,310000,2625
SI-0609,58549,2009-06-29,365883,2750
SI-0610,5323857,2013-06-24,469000,2950
SI-0611,549773,2006-05-19,587000,3975
SI-0612,5394118,2010-07-29,430000,2825
SI-0613,560647,2009-11-30,499999,3525
